This file lists the parameters (p) of the following function for each model and variable.
The variables were fit using annual mean model output from the 4xCO2 simulation.
func=p[0] + p[1]*(1.d - exp(-1.d*t/p[2]))+p[3]*(1.d - exp(-1.d * t/p[4]))
Here, t, p2, and p4 are time in years. p0, p1, and p3 have units of K, 10!u23!n J, and m
respectively for T, OHC, and thermosteric SLR.
TAS
     ACCESS1-0,    0.6486,    2.4872,   56.1510,    2.3391,    3.2393
     ACCESS1-3,    0.5116,    2.0646,   56.0576,    2.3661,    3.7811
       BNU-ESM,    0.8655,    2.0104,   35.4632,    3.2625,    3.7674
         CCSM4,    0.9157,    1.9499,  103.6433,    2.3334,    4.0328
      CNRM-CM5,    0.9479,    1.8254,   24.9552,    2.3269,    4.0644
    CNRM-CM5-2,    0.8647,    1.3340,   32.1721,    2.7694,    3.8873
 CSIRO-Mk3-6-0,    0.7508,    3.1608,   70.9707,    2.0190,    3.5165
       CanESM2,    0.6016,    2.3468,   35.8114,    2.8637,    2.7055
     FGOALS-g2,    0.6509,    2.5993,   48.9253,    1.9281,    2.4515
     FGOALS-s2,    0.7816,    1.7026,   72.4297,    3.4688,    4.2303
      GFDL-CM3,    0.4759,    2.9863,   49.0206,    2.3350,    2.9625
    GFDL-ESM2G,    0.8342,    0.2000,   29.8011,    2.2013,    3.1574
    GFDL-ESM2M,    0.6367,    1.1670,  110.7206,    2.2676,    4.1910
     GISS-E2-H,    0.7624,    1.3625,   37.0817,    1.7863,    2.7827
     GISS-E2-R,    0.7257,    0.9568,   65.5664,    1.7055,    1.4663
    HadGEM2-ES,    1.7657,    0.9860,   10.0000,    3.2977,   20.0000
  IPSL-CM5A-LR,    1.0266,    2.8130,   34.5951,    1.8845,    3.7531
  IPSL-CM5A-MR,    0.8590,    2.6338,   28.9888,    2.1667,    4.2103
  IPSL-CM5B-LR,    0.7534,    1.7829,   38.8573,    1.5139,    3.2316
     MIROC-ESM,    0.9561,    2.4454,   33.3096,    2.9567,    4.2528
        MIROC5,    0.5445,    1.0043,   34.3321,    2.4835,    2.6663
    MPI-ESM-LR,    0.8175,    2.0895,   49.5316,    2.9695,    3.2970
    MPI-ESM-MR,    1.0660,    1.9164,   47.8361,    2.6680,    3.6578
     MRI-CGCM3,    0.7600,    1.7005,   32.9070,    1.7401,    3.3705
     NorESM1-M,    0.7690,    1.6829,   56.0905,    1.8682,    3.5748
    bcc-csm1-1,    0.6367,    1.8390,   44.8495,    2.3862,    3.2552
  bcc-csm1-1-m,    0.9814,    1.6280,   33.8852,    2.1170,    3.7498
        inmcm4,    0.7784,    0.2000,  113.2291,    2.1484,    5.4493

OHC
     ACCESS1-0,   -0.0496,  140.3997,  346.2701,    3.6723,   13.0211
     ACCESS1-3,   -0.0570,  194.9838,  508.8447,    3.9872,   12.8173
       BNU-ESM,   -0.0709,  143.8352,  383.7550,    6.1782,   19.2813
         CCSM4,   -0.2429,   94.8501,  215.0386,    2.6397,    6.7201
      CNRM-CM5,   -0.1359,   64.9571,  213.5543,    5.5973,   13.0160
    CNRM-CM5-2,   -0.4514,   94.6820,  256.4065,    4.4313,    8.3561
 CSIRO-Mk3-6-0,   -0.0159,  189.8453,  511.0637,    4.0148,   17.4594
       CanESM2,    0.0257,   97.3298,  238.5668,    4.7686,   13.5653
     FGOALS-g2,   -0.0603,  111.9178,  306.4996,    3.5876,   12.7329
      GFDL-CM3,    0.1391,  139.3627,  322.9760,    4.1197,   23.0035
    GFDL-ESM2G,   -0.2529,  111.2917,  313.4691,    3.0783,    8.4678
    GFDL-ESM2M,   -0.2003,  120.1701,  318.4034,    2.6150,    7.8314
    HadGEM2-ES,   -0.2662,  236.2578,  664.4260,    4.3971,   11.2290
  IPSL-CM5A-LR,   -0.1169,   95.2248,  313.3140,    7.4066,   19.9534
  IPSL-CM5A-MR,   -0.1965,  125.5314,  392.0415,    6.8779,   15.4847
  IPSL-CM5B-LR,    0.0346,   41.9679,  157.4794,    3.4232,   15.6725
     MIROC-ESM,   -0.3282,  180.9051,  335.7344,    4.5128,    9.3804
        MIROC5,   -0.1171,  162.4789,  383.1891,    3.4989,    9.4000
    MPI-ESM-LR,   -0.2146,  149.6857,  328.3637,    4.5344,   11.0386
    MPI-ESM-MR,   -0.1313,  132.5964,  306.9018,    4.2853,   11.7004
     MPI-ESM-P,   -0.2973,  139.3429,  299.9826,    4.5216,   10.2604
     MRI-CGCM3,   -0.0808,   87.3661,  268.7400,    4.6144,   14.4837
     NorESM1-M,   -0.1103,  193.3925,  506.8466,    3.7124,   12.5592
    bcc-csm1-1,   -0.0652,   80.7966,  233.3787,    4.3823,   13.1043
  bcc-csm1-1-m,   -0.2822,   71.3634,  202.7525,    4.6080,    9.1640
        inmcm4,   -0.4251,  374.7556, 1169.6534,    2.5241,    4.9136

Thermosteric SLR
     ACCESS1-0,   -0.0110,    1.4212,  217.4280,    0.0500,    6.9901
     ACCESS1-3,   -0.0052,    0.5538,  132.6732,    0.0587,    6.7304
       CanESM2,    0.0073,    1.0822,  209.7155,    0.0670,   10.1716
    GFDL-ESM2G,    0.0061,    1.2840,  345.3772,    0.0543,    6.7326
    GFDL-ESM2M,   -0.0036,    1.2163,  259.2753,    0.0481,    7.6220
     GISS-E2-R,   -0.0069,    2.9845,  527.3756,    0.0267,    5.1758
     MIROC-ESM,   -0.0019,    1.6787,  265.3272,    0.0778,    8.6514
        MIROC5,   -0.0168,    5.1760, 1051.0709,    0.0686,    6.4583
    MPI-ESM-LR,    0.0063,    1.8009,  332.9484,    0.0721,   10.0700
    MPI-ESM-MR,    0.0081,    1.4730,  284.3192,    0.0638,    8.9579
     MPI-ESM-P,   -0.0178,    1.5758,  286.2376,    0.0680,    8.1815
     NorESM1-M,    0.0099,    2.0383,  500.0186,    0.0644,   10.0735
